current,min,max,avg
2,2,2,2.0
0,0,2,1.0
6,0,6,2.6666666666666665
9,0,9,4.25
14,0,14,6.2
19,0,19,8.333333333333334
23,0,23,10.428571428571429
27,0,27,12.5
35,0,35,15.0
37,0,37,17.2
32,0,37,18.545454545454547
32,0,37,19.666666666666668
37,0,37,21.0
38,0,38,22.214285714285715
34,0,38,23.0
39,0,39,24.0
39,0,39,24.88235294117647
38,0,39,25.61111111111111
39,0,39,26.31578947368421
40,0,40,27.0
39,0,40,27.571428571428573
37,0,40,28.0
36,0,40,28.347826086956523
32,0,40,28.5
38,0,40,28.88
37,0,40,29.192307692307693
32,0,40,29.296296296296298
39,0,40,29.642857142857142
38,0,40,29.93103448275862
35,0,40,30.1
34,0,40,30.225806451612904
36,0,40,30.40625
37,0,40,30.606060606060606
35,0,40,30.735294117647058
37,0,40,30.914285714285715
36,0,40,31.055555555555557
38,0,40,31.243243243243242
39,0,40,31.44736842105263
39,0,40,31.641025641025642
37,0,40,31.775
34,0,40,31.829268292682926
35,0,40,31.904761904761905
34,0,40,31.953488372093023
35,0,40,32.02272727272727
31,0,40,32.0
33,0,40,32.02173913043478
33,0,40,32.04255319148936
38,0,40,32.166666666666664
37,0,40,32.265306122448976
32,0,40,32.26
32,0,40,32.254901960784316
34,0,40,32.28846153846154
30,0,40,32.24528301886792
35,0,40,32.2962962962963
32,0,40,32.29090909090909
36,0,40,32.357142857142854
37,0,40,32.43859649122807
37,0,40,32.51724137931034
37,0,40,32.59322033898305
31,0,40,32.56666666666667
37,0,40,32.63934426229508
41,0,41,32.774193548387096
36,0,41,32.82539682539682
35,0,41,32.859375
36,0,41,32.90769230769231
34,0,41,32.92424242424242
37,0,41,32.985074626865675
34,0,41,33.0
32,0,41,32.98550724637681
33,0,41,32.98571428571429
27,0,41,32.901408450704224
31,0,41,32.875
33,0,41,32.87671232876713
30,0,41,32.83783783783784
37,0,41,32.89333333333333
32,0,41,32.88157894736842
30,0,41,32.84415584415584
37,0,41,32.8974358974359
36,0,41,32.936708860759495
35,0,41,32.9625
33,0,41,32.96296296296296
35,0,41,32.98780487804878
32,0,41,32.975903614457835
34,0,41,32.98809523809524
28,0,41,32.92941176470588
27,0,41,32.86046511627907
25,0,41,32.770114942528735
19,0,41,32.61363636363637
13,0,41,32.39325842696629
10,0,41,32.144444444444446
7,0,41,31.86813186813187
0,0,41,31.52173913043478
0,0,41,31.182795698924732
0,0,41,30.851063829787233
0,0,41,30.526315789473685
0,0,41,30.208333333333332
0,0,41,29.896907216494846
0,0,41,29.591836734693878
0,0,41,29.292929292929294
0,0,41,29.0
0,0,41,28.712871287128714
0,0,41,28.431372549019606
0,0,41,28.155339805825243
0,0,41,27.884615384615383
0,0,41,27.61904761904762
0,0,41,27.358490566037737
0,0,41,27.102803738317757
0,0,41,26.85185185185185
0,0,41,26.605504587155963
0,0,41,26.363636363636363
0,0,41,26.126126126126128
0,0,41,25.892857142857142
0,0,41,25.663716814159294
0,0,41,25.43859649122807
0,0,41,25.217391304347824
6,0,41,25.051724137931036
12,0,41,24.94017094017094
24,0,41,24.93220338983051
17,0,41,24.865546218487395
11,0,41,24.75
7,0,41,24.60330578512397
12,0,41,24.5
19,0,41,24.45528455284553
27,0,41,24.475806451612904
33,0,41,24.544
34,0,41,24.61904761904762
28,0,41,24.64566929133858
30,0,41,24.6875
25,0,41,24.689922480620154
26,0,41,24.7
27,0,41,24.717557251908396
30,0,41,24.757575757575758
36,0,41,24.842105263157894
36,0,41,24.925373134328357
35,0,41,25.0
30,0,41,25.03676470588235
32,0,41,25.087591240875913
33,0,41,25.144927536231883
34,0,41,25.20863309352518
37,0,41,25.292857142857144
33,0,41,25.347517730496453
33,0,41,25.401408450704224
32,0,41,25.447552447552447
34,0,41,25.506944444444443
36,0,41,25.579310344827586
34,0,41,25.636986301369863
38,0,41,25.72108843537415
39,0,41,25.81081081081081
36,0,41,25.879194630872483
32,0,41,25.92
38,0,41,26.0
37,0,41,26.07236842105263
36,0,41,26.137254901960784
37,0,41,26.207792207792206
34,0,41,26.258064516129032
39,0,41,26.33974358974359
34,0,41,26.388535031847134
30,0,41,26.411392405063292
21,0,41,26.37735849056604
21,0,41,26.34375
21,0,41,26.31055900621118
29,0,41,26.32716049382716
26,0,41,26.32515337423313
19,0,41,26.28048780487805
19,0,41,26.236363636363638
18,0,41,26.186746987951807
24,0,41,26.17365269461078
27,0,41,26.178571428571427
33,0,41,26.218934911242602
40,0,41,26.3
41,0,41,26.385964912280702
38,0,41,26.453488372093023
33,0,41,26.491329479768787
39,0,41,26.563218390804597
38,0,41,26.62857142857143
33,0,41,26.664772727272727
33,0,41,26.70056497175141
33,0,41,26.735955056179776
26,0,41,26.731843575418996
24,0,41,26.716666666666665
20,0,41,26.679558011049725
19,0,41,26.63736263736264
14,0,41,26.56830601092896
9,0,41,26.472826086956523
9,0,41,26.37837837837838
9,0,41,26.28494623655914
9,0,41,26.192513368983956
9,0,41,26.101063829787233
9,0,41,26.01058201058201
9,0,41,25.92105263157895
9,0,41,25.832460732984295
